Drive_Y,Drive_Twist,Ears,Hat,Tilt,Time
0,0,0,0,0,0.00231
0,0,0,0,0,0.062236
0,0,0,0,0,0.122494
0,0,0,0,0,0.184454
0,0,0,0,0,0.245561
0,0,0,0,0,0.309034
0,0,0,0,0,0.373118
0,0,0,0,0,0.439655
0,0,0,0,0,0.499222
0,0,0,0,0,0.559266
0,0,0,0,0,0.618997
0,0,0,0,0,0.680858
0,0,0,0,0,0.740961
0,0,0,0,0,0.800531
0,0,0,0,0,0.861721
0,0,0,0,-0.1417399804,0.921894
0,0,0,0,-0.183773216,0.985238
0,0,0,0,-0.2267839687,1.045943
0,0,0,0,-0.2688172043,1.107777
0,0,0,0,-0.3704789834,1.170785
0,0,0,0,-0.3704789834,1.234499
0,0,0,0,-0.4545454545,1.298435
0,0,0,0,-0.514173998,1.358448
0,0,0,0,-0.514173998,1.419082
0,0,0,0,-0.5483870968,1.479761
0,0,0,0,-0.5483870968,1.539658
0,0,0,0,-0.5483870968,1.599932
0,0,0,0,-0.5483870968,1.659768
0,0,0,0,-0.5483870968,1.720459
0,0,0,0,-0.5483870968,1.781329
0,0,0,0,-0.5483870968,1.841362
0,0,0,0,-0.5483870968,1.901296
0,0,0,0,-0.5483870968,1.961298
0,0,0,0,0,2.02181
0,0,0,0,0,2.083411
0,0,0,0,0,2.143467
0,0,0,0,0,2.203606
0,0,0,0,0,2.263836
0,0,0,0,0,2.328685
0,0,0,0,0,2.392205
0,0,0,0,0,2.456641
0,0,0,0,0,2.519777
0,0,0,0,0,2.579762
0,0,0,0,0,2.640819
0,0,0,0,0,2.70071
0,0,0,0,0,2.760521
0,0,0,0,0,2.820235
0,0,0,0,0,2.879985
0,0,0,0,0,2.939975
0,0,0,0,0,2.99968
0,0,0,0,0,3.059817
0,0,1,0,0,3.121405
0,0,1,0,0,3.182906
0,0,1,0,0,3.248032
0,0,1,0,0,3.318799
0,0,1,0,0,3.380864
0,0,1,0,0,3.442676
0,0,1,0,0,3.508862
0,0,1,0,0,3.577561
0,0,1,0,0,3.641007
0,0,1,0,0,3.702573
0,0,1,0,0,3.768835
0,0,1,0,0,3.837211
0,0,1,0,0,3.899576
0,0,1,0,0,3.962423
0,0,1,0,0,4.028682
0,0,1,0,0,4.09689
0,0,1,0,0,4.159995
0,0,1,0,0,4.222438
0,0,1,0,0,4.28563
0,0,1,0,0,4.353023
0,0,1,0,0,4.419068
0,0,1,0,0,4.481594
0,0,1,0,0,4.543219
0,0,1,0,0,4.605132
0,0,1,0,0,4.672445
0,0,1,0,0,4.739317
0,0,1,0,0,4.801152
0,0,1,0,0,4.86297
0,0,1,0,0,4.926194
0,0,1,0,0,4.993417
0,0,1,0,0,5.058789
0,0,1,1,0,5.126545
0,0,1,1,0,5.195671
0,0,1,1,0,5.259311
0,0,1,1,0,5.322875
0,0,1,1,0,5.390777
0,0,1,1,0,5.458457
0,0,1,1,0,5.521619
0,0,1,1,0,5.58562
0,0,1,1,0,5.653052
0,0,1,1,0,5.719736
0,0,1,1,0,5.787274
0,0,1,1,0,5.856117
0,0,1,1,0,5.918461
0,0,1,1,0,5.982559
0,0,1,1,0,6.047055
0,0,1,1,0,6.11768
0,0,1,1,0,6.180848
0,0,1,1,0,6.246787
0,0,1,1,0,6.316578
0,0,1,1,0,6.378985
0,0,1,1,0,6.441644
0,0,1,1,0,6.505817
0,0,1,0,0,6.572641
0,0,1,0,0,6.638662
0,0,1,0,0,6.70159
0,0,0,0,0,6.761603
0,0,0,0,0,6.821082
0,0,0,0,0,6.881206
0,0,0,0,0,6.941871
0,0,0,0,0,7.001444
0,0,0,0,0,7.06108
0,0,0,0,0,7.120863
0,0,0,0,0,7.180851
0,0,0,0,0,7.241252
0,0,0,0,0,7.300991
0,0,0,0,0,7.360757
0,0,0,0,0,7.420749
0,0,0,0,0,7.480864
0,0,0,0,0,7.540418
0,0,0,0,0,7.600493
0,0,0,0,0,7.659961
0,0,0,0,0,7.720683
0,0,0,0,0,7.780741
0,0,0,0,0,7.840265
0,0,0,0,0,7.900497
0,0,0,0,0,7.960803
0,0,0,0,0,8.021014
0,0,0,0,0,8.081567
0,0,0,0,0,8.141574
0,0,0,0,0,8.201755
